,Date,SM,Rain (in mm),Run Off,Infiltration,Uptake,Ground Water
0,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-06-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2022-06-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2022-06-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2022-06-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2022-06-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2022-06-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2022-06-08,0.16666666666666682,5.25,1.05,4.2,4.0,0.03333333333333337
8,2022-06-09,0.0,2.25,0.45,1.8,1.9666666666666668,0.0
9,2022-06-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2022-06-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2022-06-12,2.0000000000000004,8.0,1.6,6.4,4.0,0.4000000000000001
12,2022-06-13,14.083333333333332,27.0,8.1,18.9,4.0,2.816666666666667
13,2022-06-14,8.402777777777777,0.0,0.0,0.0,4.0,1.6805555555555556
14,2022-06-15,3.668981481481481,0.0,0.0,0.0,4.0,0.7337962962962962
15,2022-06-16,0.0,0.0,0.0,0.0,3.668981481481481,0.0
16,2022-06-17,0.0,0.75,0.15000000000000002,0.6,0.6,0.0
17,2022-06-18,0.0,0.0,0.0,0.0,0.0,0.0
18,2022-06-19,0.0,0.75,0.15000000000000002,0.6,0.6,0.0
19,2022-06-20,0.0,1.25,0.25,1.0,1.0,0.0
20,2022-06-21,1.0000000000000002,6.5,1.3,5.2,4.0,0.20000000000000004
21,2022-06-22,22.875000000000004,43.5,13.049999999999999,30.450000000000003,4.0,4.575000000000001
22,2022-06-23,16.39583333333334,1.0,0.2,0.8,4.0,3.2791666666666677
23,2022-06-24,14.829861111111118,6.75,1.35,5.4,4.0,2.9659722222222236
24,2022-06-25,9.191550925925931,0.25,0.05,0.2,4.0,1.8383101851851862
25,2022-06-26,4.32629243827161,0.0,0.0,0.0,4.0,0.8652584876543218
26,2022-06-27,11.43857703189301,16.75,3.35,13.4,4.0,2.287715406378602
27,2022-06-28,6.365480859910841,0.25,0.05,0.2,4.0,1.2730961719821683
28,2022-06-29,1.9712340499257008,0.0,0.0,0.0,4.0,0.3942468099851402
29,2022-06-30,0.0,0.5,0.1,0.4,2.3712340499257007,0.0
30,2022-07-01,0.0,1.75,0.35000000000000003,1.4,1.4,0.0
31,2022-07-02,0.0,0.0,0.0,0.0,0.0,0.0
32,2022-07-03,0.0,0.0,0.0,0.0,0.0,0.0
33,2022-07-04,0.0,2.0,0.4,1.6,1.6,0.0
34,2022-07-05,0.0,1.25,0.25,1.0,1.0,0.0
35,2022-07-06,0.0,0.0,0.0,0.0,0.0,0.0
36,2022-07-07,3.4999999999999996,10.25,2.0500000000000003,8.2,4.0,0.7
37,2022-07-08,14.416666666666668,22.25,4.45,17.8,4.0,2.8833333333333337
38,2022-07-09,13.847222222222223,7.75,1.55,6.2,4.0,2.769444444444445
39,2022-07-10,23.70601851851852,23.25,4.65,18.6,4.0,4.741203703703704
40,2022-07-11,27.088348765432098,16.0,3.2,12.8,4.0,5.41766975308642
41,2022-07-12,20.24029063786008,1.5,0.30000000000000004,1.2,4.0,4.048058127572016
42,2022-07-13,19.8669088648834,9.5,1.9000000000000001,7.6,4.0,3.9733817729766803
43,2022-07-14,13.889090720736167,1.0,0.2,0.8,4.0,2.7778181441472336
44,2022-07-15,9.740908933946807,2.25,0.45,1.8,4.0,1.9481817867893614
45,2022-07-16,4.7840907782890065,0.0,0.0,0.0,4.0,0.9568181556578014
46,2022-07-17,10.153408981907507,14.25,2.85,11.4,4.0,2.0306817963815016
47,2022-07-18,13.627840818256256,12.75,2.5500000000000003,10.2,4.0,2.725568163651251
48,2022-07-19,15.85653401521355,11.75,2.35,9.4,4.0,3.17130680304271
49,2022-07-20,11.047111679344626,1.75,0.35000000000000003,1.4,4.0,2.209422335868925
50,2022-07-21,6.039259732787188,0.25,0.05,0.2,4.0,1.2078519465574376
51,2022-07-22,2.0327164439893237,0.5,0.1,0.4,4.0,0.4065432887978647
52,2022-07-23,0.5272637033244365,3.25,0.65,2.6,4.0,0.10545274066488732
53,2022-07-24,1.2727197527703638,6.25,1.25,5.0,4.0,0.25454395055407275
54,2022-07-25,0.0,0.5,0.1,0.4,1.6727197527703637,0.0
55,2022-07-26,0.0,3.0,0.6000000000000001,2.4,2.4,0.0
56,2022-07-27,16.0625,33.25,9.975,23.275,4.0,3.2125
57,2022-07-28,10.052083333333334,0.0,0.0,0.0,4.0,2.010416666666667
58,2022-07-29,6.043402777777778,1.5,0.30000000000000004,1.2,4.0,1.2086805555555555
59,2022-07-30,1.7028356481481481,0.0,0.0,0.0,4.0,0.34056712962962965
60,2022-07-31,0.0,0.0,0.0,0.0,1.7028356481481481,0.0
61,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0
62,2022-08-02,0.0,0.0,0.0,0.0,0.0,0.0
63,2022-08-03,0.0,0.0,0.0,0.0,0.0,0.0
64,2022-08-04,1.166666666666667,6.75,1.35,5.4,4.0,0.23333333333333342
65,2022-08-05,0.0,0.5,0.1,0.4,1.5666666666666669,0.0
66,2022-08-06,0.0,0.0,0.0,0.0,0.0,0.0
67,2022-08-07,0.0,0.0,0.0,0.0,0.0,0.0
